,EBITDA (Period 1),Retained Earnings (Period 1),Total Assets (Period 1),Total Current Liabilities (Period 1),Total Non Current Liabilities (Incl Provisions) (Period 1),Total Sales / Turnover (Period 1),Working Capital (Period 1),Loan ID,Company Name,PD1,PD2,PD3,PD4,PDwithin1,PDwithin2,PDwithin3,PDwithin4
11,2071300,3403223,4795762,1317190,75186,6826058,152745,33,JANSPEED TECHNOLOGIES LIMITED,0.214683312,0.303192642,0.38953945,0.239815936,0.214683312,0.51722505,0.904749705,1.142395906
12,3701000,751000,46126000,35041000,10246000,90549000,10603000,34,EAGLEMOSS LIMITED,3.881530188,1.691195082,3.841445241,1.067727378,3.881530188,5.507081022,9.136974761,10.10714416
13,1094697,645961,3839270,3128787,64382,11316525,108473,36,SMARTS PLUMBING SPECIALISTS LIMITED,0.397969544,0.721175736,0.482754092,0.690524157,0.397969544,1.116275219,1.593640447,2.273160132
14,554000,22892,1510176,1083740,365044,4420000,-354381,37,GEM VENDING LIMITED,5.31320997,4.525746664,1.829416398,1.628708799,5.31320997,9.598494211,11.25231418,12.69775555
15,,254585,843589,562395,26509,3668100,-51432,39,FATHERSON BAKERY LIMITED,0.49005715,0.400489226,0.38558687,0.29628236,0.49005715,0.88858375,1.270744358,1.563261726
16,,1241000,5750000,4520000,0,18285000,686000,40,REDINGTON LIMITED,0.429887132,0.491188602,0.331785992,0.323508885,0.429887132,0.918964177,1.247701175,1.567173635
17,177134,215297,670403,398155,0,2193723,-101140,41,DIGITAL ORIGIN SOLUTIONS LIMITED,0.293538363,0.270737807,0.335670669,0.236690468,0.293538363,0.563481451,0.897260678,1.131827416
18,1357396,2813476,4329470,798020,0,4433344,1843170,43,BCM SCAFFOLDING SERVICES LIMITED,0.189492789,0.229034728,0.279857788,0.229771882,0.189492789,0.418093512,0.696781233,0.924952107
19,801878,3873811,6117669,3462628,515971,7461059,1484795,44,WILTON UK (GROUP) LIMITED,0.195245938,0.246108977,0.404251158,0.248125101,0.195245938,0.440874398,0.843343315,1.08937587
20,575209,1376277,1948566,172290,0,1978039,644916,45,SWT SOFTWARE LIMITED,0.188886542,0.231353732,0.281752092,0.230383969,0.188886542,0.419803278,0.700372565,0.929142988
21,677000,916000,1495000,567000,6000,3925000,489000,47,APOLLO LIGHTING LIMITED,0.189856689,0.240631972,0.339351305,0.215396832,0.189856689,0.430031804,0.767923791,0.981666539
22,1540000,684403,2968904,2209501,70000,15125000,130141,48,RALPH COLEMAN INTERNATIONAL LIMITED,0.297007194,0.491294867,0.489803836,0.422976168,0.297007194,0.78684288,1.272792729,1.690385287
23,1604000,1229000,2960000,1218000,524000,7418000,1275000,52,NGH HOLDINGS LIMITED,0.194591004,0.242604492,0.381490397,0.320575035,0.194591004,0.436723409,0.816547749,1.134505135
24,905000,368793,157382,229000,0,2245000,561000,55,FINITOR WEALTH LIMITED,0.36949103,0.699864529,0.531137871,0.474522606,0.36949103,1.066769622,1.592241476,2.059208536
25,2345000,1144000,6208072,2922048,2048884,11247000,3000,57,SHINY SKY LIMITED,0.486628602,0.924573054,0.760447996,0.66410836,0.486628602,1.40670242,2.156453175,2.806240349
26,1497000,3556000,11120000,7239000,47000,3722000,482000,59,MOBEUS EQUITY PARTNERS IV LP,0.272716895,0.430731752,0.462017929,0.322432873,0.272716895,0.702273969,1.161047266,1.47973654
27,1518000,1886000,3874000,1917000,0,11057000,1521000,60,LAR LIMITED,0.188537488,0.240750508,0.331367425,0.211473858,0.188537488,0.428834091,0.758780499,0.968649735
28,2165989,4111923,6224280,2103378,8979,21262211,3984932,68,SHUTTERCRAFT LIMITED,0.188537488,0.23932939,0.279097008,0.215508276,0.188537488,0.427415652,0.705319756,0.919308009
29,1149347,461987,2893113,1288422,1142704,4285366,-1106782,71,MARK CLIFFORD PT LIMITED,1.048293122,1.704608385,2.720682445,1.621131237,1.048293122,2.735032215,5.381303118,6.91519637
30,887106,,3732521,1482335,,5559027,,72,WINGATE HOLDINGS LIMITED,9.287270423,10.34127959,11.5200727,12.09954236,9.287270423,18.66812741,28.03761826,36.74473713
31,1845168,554601,638928,87033,6280000,4354066,528430,73,CREATE FINANCIAL MANAGEMENT LLP,0.371624935,0.726278473,0.541910735,0.469303903,0.371624935,1.095204376,1.631180081,2.092828792
32,592971,639695,2380191,1596474,143022,3847753,547102,75,ELECTRONIC MANUFACTURING SOLUTIONS LIMITED,0.300358669,0.304522627,0.446088147,0.349554314,0.300358669,0.603966636,1.047360559,1.393253779
33,562512,241395,1511726,351024,508697,1521518,184577,76,KJA FINANCIAL SERVICES LIMITED,0.268556355,0.342583838,0.474288022,0.336247756,0.268556355,0.610220163,1.081613984,1.414224837
34,1418350,1671459,6511891,3046768,1791504,9871471,2857366,79,BW LEGAL SERVICES LIMITED,0.306958526,0.333692566,0.461107863,0.359945345,0.306958526,0.639626794,1.097785288,1.453779206
35,638268,-1026657,3067406,2225700,2350483,10406050,1271741,81,FIDELITY GROUP LIMITED,8.55941127,1.079893354,1.532029329,1.057622739,8.55941127,9.54687211,10.93264056,11.87463721
36,-122972,144097,2160764,1466667,0,8018378,694097,82,GREENVIEW GAS LTD,1.051110254,0.528173353,0.710452982,0.567038409,1.051110254,1.573731923,2.273004279,2.827153881
37,626991,390037,893776,503739,0,1907021,390037,83,CLEAR TREASURY GROUP LIMITED,0.194217629,0.24179141,0.390914236,0.287462379,0.194217629,0.435539437,0.824751087,1.109842617
38,1048883,878873,3052627,1553893,598861,7993929,479528,84,ECOTEC SERVICES LTD,0.249639417,0.342587546,0.341733137,0.260988639,0.249639417,0.591371729,0.931083954,1.189642569
39,292572,315041,1666490,1314744,36703,3746951,-234575,86,THE VALIDIUM GROUP LIMITED,0.549974805,0.818481754,0.675362647,0.627403594,0.549974805,1.363955116,2.03010612,2.644772756
